Unemployment_Rate : Total
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Punjab, 30-06-2021, M, 8.27, 9008366.00, 38.44
Punjab, 31-07-2021, M, 6.93, 9706975.00, 40.75
Punjab, 31-08-2021, M, 6.05, 9462403.00, 39.28
Rajasthan, 31-01-2021, M, 17.69, 21125626.00, 43.62
Rajasthan, 28-02-2021, M, 25.63, 20096427.00, 45.83
Rajasthan, 31-03-2021, M, 19.74, 20392741.00, 42.99
Rajasthan, 30-04-2021, M, 28.04, 19857143.00, 46.58
Rajasthan, 31-05-2021, M, 27.64, 18671874.00, 43.45
Rajasthan, 30-06-2021, M, 26.27, 20321049.00, 46.31
Rajasthan, 31-07-2021, M, 21.06, 20661802.00, 43.88
Rajasthan, 31-08-2021, M, 26.69, 20521536.00, 46.81
Sikkim, 31-01-2021, M, 0.00, 271163.00, 46.35
Sikkim, 28-02-2021, M, 4.29, 269144.00, 47.94
Sikkim, 31-03-2021, M, 1.74, 268111.00, 46.37
Sikkim, 30-04-2021, M, 1.80, 260191.00, 44.89
Sikkim, 31-05-2021, M, 4.19, 271870.00, 47.92
Sikkim, 30-06-2021, M, 0.00, 264393.00, 44.51
Sikkim, 31-07-2021, M, 0.00, 291920.00, 48.99
Sikkim, 31-08-2021, M, 0.00, 275861.00, 46.14
Tamil Nadu, 31-01-2021, M, 3.99, 22930424.00, 36.00
Tamil Nadu, 28-02-2021, M, 4.79, 23539357.00, 37.22
Tamil Nadu, 31-03-2021, M, 3.02, 24688097.00, 38.26
Tamil Nadu, 30-04-2021, M, 2.34, 24591402.00, 37.78
Tamil Nadu, 31-05-2021, M, 27.97, 14183803.00, 29.50
Tamil Nadu, 30-06-2021, M, 8.30, 19876121.00, 32.42
Tamil Nadu, 31-07-2021, M, 4.78, 24651814.00, 38.66
Tamil Nadu, 31-08-2021, M, 6.27, 23991586.00, 38.16
Telangana, 31-01-2021, M, 4.26, 16304175.00, 52.95
Telangana, 28-02-2021, M, 5.58, 16040348.00, 52.73
Telangana, 31-03-2021, M, 3.67, 16373619.00, 52.65
Telangana, 30-04-2021, M, 5.05, 14105009.00, 45.94
Telangana, 31-05-2021, M, 7.20, 16891260.00, 56.18
Telangana, 30-06-2021, M, 4.78, 15077504.00, 48.78
Telangana, 31-07-2021, M, 4.01, 16094158.00, 51.55
Telangana, 31-08-2021, M, 4.66, 16234011.00, 52.25
Tripura, 31-01-2021, M, 18.15, 1395070.00, 51.89
Tripura, 28-02-2021, M, 11.05, 1629794.00, 55.69
Tripura, 31-03-2021, M, 13.94, 1493608.00, 52.65
Tripura, 30-04-2021, M, 17.28, 1436936.00, 52.61
Tripura, 31-05-2021, M, 19.93, 1350783.00, 50.99
Tripura, 30-06-2021, M, 9.62, 1651388.00, 55.13
Tripura, 31-07-2021, M, 13.34, 1577784.00, 54.83
Tripura, 31-08-2021, M, 15.60, 1497924.00, 53.35
Uttar Pradesh, 31-01-2021, M, 4.89, 55124290.00, 34.78
Uttar Pradesh, 28-02-2021, M, 4.10, 56568780.00, 35.33
Uttar Pradesh, 31-03-2021, M, 4.14, 55834036.00, 34.80
Uttar Pradesh, 30-04-2021, M, 6.30, 56962368.00, 36.25
Uttar Pradesh, 31-05-2021, M, 6.89, 55829255.00, 35.67
Uttar Pradesh, 30-06-2021, M, 4.32, 55933912.00, 34.70
Uttar Pradesh, 31-07-2021, M, 4.95, 55247629.00, 34.43
Uttar Pradesh, 31-08-2021, M, 6.98, 56472386.00, 35.88
Uttarakhand, 31-01-2021, M, 4.45, 2531098.00, 29.68
Uttarakhand, 28-02-2021, M, 4.69, 2775542.00, 32.56
Uttarakhand, 31-03-2021, M, 3.26, 2511431.00, 28.96
Uttarakhand, 30-04-2021, M, 5.96, 2852350.00, 33.77
Uttarakhand, 31-05-2021, M, 5.49, 2447140.00, 28.76
Uttarakhand, 30-06-2021, M, 4.81, 2822878.00, 32.87
Uttarakhand, 31-07-2021, M, 3.17, 2531701.00, 28.92
Uttarakhand, 31-08-2021, M, 6.22, 2774922.00, 32.65
West Bengal, 31-01-2021, M, 5.25, 36563881.00, 46.40
West Bengal, 28-02-2021, M, 6.22, 37127736.00, 47.52
West Bengal, 31-03-2021, M, 7.51, 35827410.00, 46.41
West Bengal, 30-04-2021, M, 7.63, 34849346.00, 45.11
West Bengal, 31-05-2021, M, 19.34, 28897052.00, 42.75
West Bengal, 30-06-2021, M, 22.14, 30440202.00, 46.57
West Bengal, 31-07-2021, M, 7.37, 35267884.00, 45.26
West Bengal, 31-08-2021, M, 7.41, 35376844.00, 45.34
India, 31-01-2021, M, 6.52, 400709258.00, 40.59
India, 28-02-2021, M, 6.89, 398213434.00, 40.43
India, 31-03-2021, M, 6.50, 398145073.00, 40.17
India, 30-04-2021, M, 7.97, 390790128.00, 39.98
India, 31-05-2021, M, 11.84, 375727008.00, 40.04
India, 30-06-2021, M, 9.17, 383469051.00, 39.59
India, 31-07-2021, M, 6.96, 399714145.00, 40.21
India, 31-08-2021, M, 8.32, 397784327.00, 40.52

